timestamp,venue,symbol,best_bid,best_ask,spread,spread_pct,mid,bid_depth_1pct,ask_depth_1pct,imbalance_1pct,valid,error
1780295247536,hyperliquid,BTC,73177.00000000,73178.00000000,1.00000000,0.00136654,73177.50000000,12865005.98451000,566597.07953000,0.91563225,true,
1780295248622,aster,BTCUSDT,73180.60000000,73180.70000000,0.10000000,0.00013665,73180.65000000,7432716.35390000,6502454.98970000,0.06675636,true,
1780295250527,lighter,BTC,73173.70000000,73173.80000000,0.10000000,0.00013666,73173.75000000,43608772.46923300,52037429.79660296,-0.08812328,true,
1780295255729,hyperliquid,BTC,73177.00000000,73178.00000000,1.00000000,0.00136654,73177.50000000,5441682.87978000,4770792.44660000,0.06569322,true,
1780295256652,aster,BTCUSDT,73180.60000000,73180.70000000,0.10000000,0.00013665,73180.65000000,6071632.07570000,7131483.85700000,-0.08027285,true,
1780295258339,lighter,BTC,73161.20000000,73161.30000000,0.10000000,0.00013668,73161.25000000,43310416.15015502,39015511.24574097,0.05216953,true,
1780295263263,hyperliquid,BTC,73173.00000000,73174.00000000,1.00000000,0.00136661,73173.50000000,3434246.82082000,10667371.02930000,-0.51292868,true,
1780295264399,aster,BTCUSDT,73176.50000000,73176.60000000,0.10000000,0.00013666,73176.55000000,6767709.80720000,6783025.84350000,-0.00113027,true,
1780295266104,lighter,BTC,73161.70000000,73161.80000000,0.10000000,0.00013668,73161.75000000,43110819.23675302,38547735.80736096,0.05588004,true,
1780295271281,hyperliquid,BTC,73171.00000000,73172.00000000,1.00000000,0.00136665,73171.50000000,7085142.82980000,4117584.13571000,0.26489610,true,
1780295272181,aster,BTCUSDT,73170.10000000,73170.20000000,0.10000000,0.00013667,73170.15000000,6895311.99400000,6518388.26960000,0.02809991,true,
1780295274028,lighter,BTC,73162.00000000,73168.30000000,6.30000000,0.00861066,73165.15000000,39206162.21694400,33249818.19024901,0.08220638,true,
1780295279389,hyperliquid,BTC,73180.00000000,73181.00000000,1.00000000,0.00136648,73180.50000000,9613255.19877000,4013572.31347000,0.41093078,true,
1780295280075,aster,BTCUSDT,73170.10000000,73170.20000000,0.10000000,0.00013667,73170.15000000,7706960.45200000,6404309.82050000,0.09231278,true,
1780295281687,lighter,BTC,73166.30000000,73167.70000000,1.40000000,0.00191343,73167.00000000,42459812.23158401,38615553.63751996,0.04741586,true,
1780295286970,hyperliquid,BTC,73182.00000000,73183.00000000,1.00000000,0.00136645,73182.50000000,12980737.25372000,1172620.47535000,0.83429791,true,
1780295287742,aster,BTCUSDT,73189.50000000,73189.60000000,0.10000000,0.00013663,73189.55000000,6981017.66770000,5603458.84880000,0.10946493,true,
1780295289457,lighter,BTC,73185.20000000,73185.50000000,0.30000000,0.00040992,73185.35000000,40453231.71738400,51698856.00502297,-0.12203331,true,
1780295294567,hyperliquid,BTC,73183.00000000,73184.00000000,1.00000000,0.00136643,73183.50000000,6049167.22416000,7037892.46634000,-0.07554984,true,
1780295295508,aster,BTCUSDT,73184.60000000,73184.70000000,0.10000000,0.00013664,73184.65000000,5535356.21830000,7018461.51590000,-0.11813978,true,
1780295297206,lighter,BTC,73165.70000000,73165.80000000,0.10000000,0.00013668,73165.75000000,43187627.57832401,38678664.65675797,0.05507716,true,
1780295302191,hyperliquid,BTC,73182.00000000,73183.00000000,1.00000000,0.00136645,73182.50000000,5216984.57490000,6786867.00303000,-0.13078156,true,
1780295303248,aster,BTCUSDT,73184.60000000,73184.70000000,0.10000000,0.00013664,73184.65000000,6894475.67110000,7074277.44390000,-0.01287171,true,
1780295305042,lighter,BTC,73166.90000000,73171.20000000,4.30000000,0.00587680,73169.05000000,43251817.92891901,52245157.59086396,-0.09417408,true,
